timestamp,roll,pitch,yaw,timestamp_mag,mag_x,mag_y,mag_z
1.74E+15,-0.502,2.309,-35.908,1.74E+15,0.103254,0.051044,0.0918
1.74E+15,-0.499,2.319,-35.908,1.74E+15,0.103283,0.050443,0.093329
1.74E+15,-0.496,2.323,-35.909,1.74E+15,0.103283,0.050443,0.093329
1.74E+15,-0.498,2.315,-35.91,1.74E+15,0.103044343,0.050779666,0.093034784
1.74E+15,-0.496,2.32,-35.912,1.74E+15,0.102754755,0.051829101,0.090776916
1.74E+15,-0.496,2.317,-35.914,1.74E+15,0.102639,0.05231,0.089693
1.74E+15,-0.496,2.317,-35.915,1.74E+15,0.102639,0.05231,0.089693
1.74E+15,-0.5,2.313,-35.916,1.74E+15,0.103049,0.051169,0.091998
1.74E+15,-0.499,2.317,-35.916,1.74E+15,0.102796,0.052028,0.0898
1.74E+15,-0.497,2.322,-35.919,1.74E+15,0.103029,0.050526,0.091594
1.74E+15,-0.501,2.309,-35.921,1.74E+15,0.102781877,0.05166343,0.091112731
1.74E+15,-0.498,2.317,-35.923,1.74E+15,0.102894,0.05101,0.092249
1.74E+15,-0.498,2.312,-35.922,1.74E+15,0.103004363,0.051060369,0.091977011
1.74E+15,-0.499,2.31,-35.924,1.74E+15,0.102649,0.052063,0.092339
1.74E+15,-0.494,2.318,-35.926,1.74E+15,0.102649,0.052063,0.092339
1.74E+15,-0.497,2.309,-35.927,1.74E+15,0.102895,0.051036,0.092249
1.74E+15,-0.493,2.319,-35.927,1.74E+15,0.103135,0.050217,0.091801
1.74E+15,-0.497,2.31,-35.93,1.74E+15,0.102647,0.051779,0.092442
1.74E+15,-0.493,2.319,-35.932,1.74E+15,0.102647,0.051779,0.092442
1.74E+15,-0.496,2.314,-35.933,1.74E+15,0.103069715,0.050949277,0.091994411
1.74E+15,-0.494,2.318,-35.934,1.74E+15,0.103199,0.05006,0.092363
1.74E+15,-0.494,2.313,-35.936,1.74E+15,0.102699,0.052065,0.092238
1.74E+15,-0.491,2.317,-35.937,1.74E+15,0.102699,0.052065,0.092238
1.74E+15,-0.491,2.317,-35.939,1.74E+15,0.103154517,0.05010985,0.092805163
1.74E+15,-0.494,2.315,-35.941,1.74E+15,0.102686658,0.052002379,0.092065866
1.74E+15,-0.49,2.319,-35.942,1.74E+15,0.103193,0.050682,0.091699
1.74E+15,-0.491,2.316,-35.944,1.74E+15,0.102999,0.051737,0.091739
1.74E+15,-0.494,2.31,-35.946,1.74E+15,0.103316462,0.050504235,0.091845725
1.74E+15,-0.487,2.322,-35.946,1.74E+15,0.102720544,0.05128429,0.092722744
1.74E+15,-0.493,2.309,-35.948,1.74E+15,0.103003,0.05171,0.091943
1.74E+15,-0.488,2.318,-35.951,1.74E+15,0.103003,0.05171,0.091943
